City_ID,City,Country,Max Temp,Description,Lat,lng,Hotel Name
469,Sassandra,CI,76.21,light rain,4.95,-6.0833,Hotel Le Pollet
470,Palmas,BR,75.07,broken clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
473,Meulaboh,ID,83.62,overcast clouds,4.1363,96.1285,Hotel Meuligou
475,Anloga,GH,82.09,overcast clouds,5.7947,0.8973,Hotel de White House
478,Takoradi,GH,78.91,overcast clouds,4.8845,-1.7554,Hillcrest
482,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Bella Casa Hotel
487,Mabaruma,GY,73.18,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
495,Yaan,NG,80.94,overcast clouds,7.3833,8.5667,No hotel found
497,Maningrida,AU,79.74,overcast clouds,-12.0667,134.2667,No hotel found
498,Vung Tau,VN,86.32,scattered clouds,10.346,107.0843,No hotel found
500,Tabou,CI,77.81,overcast clouds,4.423,-7.3528,hôtel le rochet
502,San Juan,AR,73.49,few clouds,-31.5375,-68.5364,Hotel San Francisco
503,Ugoofaaru,MV,83.21,few clouds,5.6667,73.0,No hotel found
506,Dibulla,CO,74.59,light rain,11.2725,-73.3091,No hotel found
509,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
512,Serra Talhada,BR,71.78,broken clouds,-7.9919,-38.2983,Hotel do Vale
515,Bubaque,GW,77.14,broken clouds,11.2833,-15.8333,Chez Julio
521,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,La Portada
525,Dalby,AU,78.28,clear sky,-27.1833,151.2667,No hotel found
527,Byron Bay,AU,79.72,clear sky,-28.65,153.6167,Lord Byron Resort
531,Nazca,PE,72.03,broken clouds,-14.8333,-74.95,CASA HACIENDA
534,Conakry,GN,78.87,clear sky,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
536,Palu,ID,86.63,broken clouds,-0.8917,119.8707,Ujung Pandang Hotel
537,Gizo,SB,84.27,light rain,-8.103,156.8419,Gizo Hotel
540,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,No hotel found
543,Pithoragarh,IN,75.67,few clouds,29.5833,80.2167,No hotel found
544,Sitrah,BH,77.95,clear sky,26.1547,50.6206,No hotel found
547,Kemise,ET,73.71,overcast clouds,10.7167,39.8667,Chefa Valley Hotel
550,Gamba,GA,78.03,overcast clouds,-2.65,10.0,No hotel found
551,Masuguru,TZ,75.24,overcast clouds,-11.3667,38.4167,No hotel found
554,La Asuncion,VE,75.22,overcast clouds,11.0333,-63.8628,Hotel La Ciudad
562,Birnin Kebbi,NG,85.66,broken clouds,12.4539,4.1975,Fab Hotel
563,Umm Lajj,SA,86.76,clear sky,25.0213,37.2685,No hotel found
564,Mongoumba,CF,76.93,overcast clouds,3.6415,18.5936,Hôtel Wilo et Frères
565,Micheweni,TZ,84.11,light rain,-4.9667,39.8333,No hotel found
572,Kibre Mengist,ET,70.14,scattered clouds,5.8833,38.9833,Ochee Hotel
576,Kuala Pilah,MY,88.59,scattered clouds,2.7389,102.2487,Desa Inn Hotel
584,Bandarbeyla,SO,81.57,broken clouds,9.4942,50.8122,No hotel found
587,Mapiripan,CO,72.48,overcast clouds,2.8892,-72.1256,No hotel found
590,Buta,CD,71.89,overcast clouds,2.7858,24.73,Hôtel Rubi
594,Isangel,VU,80.47,scattered clouds,-19.55,169.2667,Tanna Lodge
596,Banjar,ID,87.31,overcast clouds,-8.19,114.9675,Villa Banjar Beach
599,West Bay,KY,79.0,clear sky,19.3667,-81.4167,Bonnie's Arch
602,Kiama,AU,75.38,scattered clouds,-34.6833,150.8667,Nova Kiama
603,Panzhihua,CN,85.35,clear sky,26.5851,101.7128,木棉花酒店
604,Makakilo City,US,73.0,overcast clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
605,Saryagash,KZ,73.36,overcast clouds,41.4511,69.1701,гостинца
607,Moussoro,TD,85.93,broken clouds,13.6408,16.4901,No hotel found
608,Tautira,PF,84.04,overcast clouds,-17.7333,-149.15,No hotel found
610,Poum,NC,78.17,clear sky,-20.2333,164.0167,No hotel found
611,Puerto Baquerizo Moreno,EC,79.11,overcast clouds,-0.9,-89.6,Dory's House
614,Culebra,PR,78.89,broken clouds,18.303,-65.301,Hotel Kokomo
615,Punta Cardon,VE,77.2,overcast clouds,11.6581,-70.215,Hotel Bijou Amethyste Punto Fijo Paraguana
618,Pouebo,NC,78.57,clear sky,-20.4,164.5667,No hotel found
619,Road Town,VG,78.89,overcast clouds,18.4167,-64.6167,No hotel found
621,Sembe,CG,72.73,overcast clouds,1.6481,14.5806,No hotel found
629,Beloha,MG,80.96,scattered clouds,-25.1667,45.05,Hôtel Oliv
631,Esmeraldas,BR,70.11,broken clouds,-19.7625,-44.3139,No hotel found
632,Blackwater,AU,89.1,clear sky,-23.5833,148.8833,No hotel found
635,Ilhabela,BR,71.85,overcast clouds,-23.7781,-45.3581,Vila Kebaya
637,Conceicao Da Barra,BR,73.09,clear sky,-18.5933,-39.7322,Porto Marlin Hotel
639,Touros,BR,76.62,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
642,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Residencial Jardins De Maio
646,Adre,TD,79.5,scattered clouds,13.4667,22.2,No hotel found
647,Mbaiki,CF,75.87,broken clouds,3.8678,17.9892,No hotel found
653,Zwedru,LR,72.61,overcast clouds,6.0667,-8.1281,No hotel found
655,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Tara-Mé
659,Santa Marta,CO,80.89,broken clouds,11.2408,-74.199,Casa Mita
661,Port Macquarie,AU,76.89,clear sky,-31.4333,152.9167,The Observatory
662,Bonthe,SL,79.05,scattered clouds,7.5264,-12.505,No hotel found
