City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,wind Speed,Description
146,Bac Lieu,VN,9.285,105.7244,89.76,55,55,16.75,broken clouds
147,Waingapu,ID,-9.6567,120.2641,82.53,74,100,4.65,moderate rain
148,Bambanglipuro,ID,-7.95,110.2833,84.63,65,78,9.37,broken clouds
149,Severo-Kurilsk,RU,50.6789,156.125,34.65,97,100,19.53,snow
150,Kapaa,US,22.0752,-159.319,76.98,86,100,12.66,light rain
151,Baikunthpur,IN,23.25,82.55,93.51,12,100,4.56,overcast clouds
152,Satun,TH,6.8333,100.0,93.2,41,30,1.81,scattered clouds
153,Boyolangu,ID,-8.1181,111.8935,85.68,61,66,8.57,broken clouds
154,Tignere,CM,7.3667,12.65,73.74,55,76,2.64,broken clouds
155,Paamiut,GL,61.994,-49.6678,29.17,67,95,5.88,overcast clouds
156,Chuy,UY,-33.6971,-53.4616,60.03,86,5,0.72,clear sky
157,Pokhara,NP,28.2333,83.9833,84.45,19,26,8.21,scattered clouds
158,Dawlatabad,AF,36.4141,64.9053,85.19,16,61,2.59,broken clouds
159,Torbay,CA,47.6666,-52.7314,32.58,79,40,31.07,scattered clouds
160,Kaitangata,NZ,-46.2817,169.8464,59.94,72,3,13.02,clear sky
161,Santa Maria,BR,-29.6842,-53.8069,63.07,89,97,6.26,overcast clouds
162,Kurilsk,RU,45.2333,147.8833,33.94,97,100,6.87,snow
163,Port Hedland,AU,-20.3167,118.5667,93.25,59,26,12.66,scattered clouds
164,Kahului,US,20.8947,-156.47,74.84,74,0,19.57,clear sky
165,Freeport,US,40.6576,-73.5832,44.02,42,75,12.66,broken clouds
166,North Bend,US,43.4065,-124.2243,48.11,87,100,6.91,overcast clouds
167,Russell,US,32.3502,-85.1999,60.03,77,100,11.5,light intensity drizzle
168,Te Anau,NZ,-45.4167,167.7167,53.24,72,6,1.54,clear sky
169,Osnabruck,DE,52.2667,8.05,41.56,82,82,4.54,broken clouds
170,Hobyo,SO,5.3505,48.5268,84.38,58,47,14.74,scattered clouds
171,Tomatlan,MX,19.9333,-105.25,66.15,76,0,2.53,clear sky
172,Renfrew,GB,55.872,-4.3925,42.48,97,35,2.3,scattered clouds
173,Faya,SA,18.3851,42.4509,64.92,55,37,2.98,scattered clouds
174,Ust-Kulom,RU,61.6864,53.6902,33.08,82,83,7.74,broken clouds
175,Lesozavodsk,RU,45.4794,133.4244,44.08,18,0,8.99,clear sky
176,Upernavik,GL,72.7868,-56.1549,-21.82,98,60,13.73,broken clouds
177,Itoman,JP,26.1247,127.6694,70.57,50,40,26.46,scattered clouds
178,Shizuishan,CN,39.2333,106.7694,60.26,20,2,8.03,clear sky
179,Inhambane,MZ,-23.865,35.3833,75.18,88,20,5.01,few clouds
180,Mareeba,AU,-17.0,145.4333,90.45,61,100,0.89,overcast clouds
181,Sungurlare,BG,42.7667,26.7833,42.17,68,92,3.22,overcast clouds
182,Klaeng,TH,12.7797,101.6483,98.35,50,90,9.28,overcast clouds
183,Kawalu,ID,-7.3817,108.2082,85.8,58,89,4.68,overcast clouds
184,Grand Gaube,MU,-20.0064,57.6608,84.38,69,18,5.99,few clouds
